dataset,representation_name,n_rows,n_cells,n_mixed_authorization_cells,n_rows_in_mixed_cells,unit_cost_collision_lower_bound,authorization_sufficient_on_observed_rows
E48-explicit-authority-subset,tool_name,528,150,45,362,96,False
E48-explicit-authority-subset,ideal_effect,528,144,35,408,48,False
E48-explicit-authority-subset,ideal_effect_resource,528,190,0,0,0,True
E48-explicit-authority-subset,rule_extracted_effect,528,172,38,365,67,False
E48-explicit-authority-subset,rule_extracted_effect_resource,528,246,30,242,43,False
E48-explicit-authority-subset,rule_decision_representation,528,276,35,197,43,False
E48-explicit-authority-subset,full_guard_decision_representation,528,368,14,72,18,False
E50-repaired-resource-authorization,tool_name,240,94,23,165,72,False
E50-repaired-resource-authorization,ideal_effect,240,133,22,93,45,False
E50-repaired-resource-authorization,ideal_effect_resource,240,201,0,0,0,True
E50-repaired-resource-authorization,rule_extracted_effect,240,126,22,102,45,False
E50-repaired-resource-authorization,rule_extracted_effect_resource,240,190,8,26,10,False
E50-repaired-resource-authorization,rule_decision_representation,240,190,8,26,10,False
E50-repaired-resource-authorization,full_guard_decision_representation,240,187,8,29,11,False
