candidate_id,tool_name,round_index,parse_valid,compile_success,compile_error,n_cases,n_tasks,atom_count_match_rate,resource_binding_coverage,operation_commit_binding_coverage,provenance_control_binding_coverage,field_sensitivity_pass_rate,surface_invariance_pass_rate,multi_resource_expansion_coverage,injection_stable_extraction_rate,descriptor_score,registered,failure_categories
add_calendar_event#round0,add_calendar_event,0,True,True,,4,26,0.5,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.53,False,"['field_sensitivity_failure', 'resource_binding_failure', 'operation_commit_binding_failure', 'provenance_control_binding_failure']"
add_calendar_event#round1,add_calendar_event,1,True,True,,4,26,0.5,0.0,1.0,0.0,0.182,1.0,0.0,1.0,0.6428,False,"['field_sensitivity_failure', 'resource_binding_failure', 'provenance_control_binding_failure']"
add_calendar_event#round2,add_calendar_event,2,True,True,,4,26,0.5,0.0,1.0,0.0,0.182,1.0,0.0,1.0,0.6428,False,"['field_sensitivity_failure', 'resource_binding_failure', 'provenance_control_binding_failure']"
add_calendar_event#round3,add_calendar_event,3,True,True,,4,26,0.5,0.0,1.0,0.0,0.182,1.0,0.0,1.0,0.6428,False,"['field_sensitivity_failure', 'resource_binding_failure', 'provenance_control_binding_failure']"
add_user_to_channel#round0,add_user_to_channel,0,True,True,,6,36,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.47,False,"['field_sensitivity_failure', 'atom_count_mismatch', 'resource_binding_failure', 'operation_commit_binding_failure', 'provenance_control_binding_failure']"
add_user_to_channel#round1,add_user_to_channel,1,True,True,,6,36,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.47,False,"['field_sensitivity_failure', 'atom_count_mismatch', 'resource_binding_failure', 'operation_commit_binding_failure', 'provenance_control_binding_failure']"
add_user_to_channel#round2,add_user_to_channel,2,True,True,,6,36,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.47,False,"['field_sensitivity_failure', 'atom_count_mismatch', 'resource_binding_failure', 'operation_commit_binding_failure', 'provenance_control_binding_failure']"
add_user_to_channel#round3,add_user_to_channel,3,True,True,,6,36,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.47,False,"['field_sensitivity_failure', 'atom_count_mismatch', 'resource_binding_failure', 'operation_commit_binding_failure', 'provenance_control_binding_failure']"
create_calendar_event#round0,create_calendar_event,0,True,True,,29,194,0.552,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.5362,False,"['field_sensitivity_failure', 'resource_binding_failure', 'operation_commit_binding_failure', 'provenance_control_binding_failure']"
create_calendar_event#round1,create_calendar_event,1,True,True,,29,194,0.552,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.5362,False,"['field_sensitivity_failure', 'resource_binding_failure', 'operation_commit_binding_failure', 'provenance_control_binding_failure']"
create_calendar_event#round2,create_calendar_event,2,True,True,,29,194,0.552,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.5362,False,"['field_sensitivity_failure', 'resource_binding_failure', 'operation_commit_binding_failure', 'provenance_control_binding_failure']"
create_calendar_event#round3,create_calendar_event,3,True,True,,29,194,0.552,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.5362,False,"['field_sensitivity_failure', 'resource_binding_failure', 'operation_commit_binding_failure', 'provenance_control_binding_failure']"
create_event#round0,create_event,0,True,True,,1,7,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.61,False,"['field_sensitivity_failure', 'atom_count_mismatch', 'resource_binding_failure']"
create_event#round1,create_event,1,True,True,,1,7,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.61,False,"['field_sensitivity_failure', 'atom_count_mismatch', 'resource_binding_failure']"
create_event#round2,create_event,2,True,True,,1,7,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.61,False,"['field_sensitivity_failure', 'atom_count_mismatch', 'resource_binding_failure']"
create_event#round3,create_event,3,True,True,,1,7,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.61,False,"['field_sensitivity_failure', 'atom_count_mismatch', 'resource_binding_failure']"
create_file#round0,create_file,0,True,True,,9,54,0.0,0.0,0.0,1.0,0.4,1.0,0.0,1.0,0.602,False,"['field_sensitivity_failure', 'atom_count_mismatch', 'resource_binding_failure', 'operation_commit_binding_failure']"
create_file#round1,create_file,1,True,True,,9,54,0.0,0.0,0.0,1.0,0.4,1.0,0.0,1.0,0.602,False,"['field_sensitivity_failure', 'atom_count_mismatch', 'resource_binding_failure', 'operation_commit_binding_failure']"
create_file#round2,create_file,2,True,True,,9,54,0.0,0.0,0.0,1.0,0.4,1.0,0.0,1.0,0.602,False,"['field_sensitivity_failure', 'atom_count_mismatch', 'resource_binding_failure', 'operation_commit_binding_failure']"
create_file#round3,create_file,3,True,True,,9,54,0.0,0.0,0.0,1.0,0.4,1.0,0.0,1.0,0.602,False,"['field_sensitivity_failure', 'atom_count_mismatch', 'resource_binding_failure', 'operation_commit_binding_failure']"
delete_file#round0,delete_file,0,True,True,,14,84,0.0,0.643,1.0,0.0,0.129,1.0,0.0,1.0,0.6632,False,"['field_sensitivity_failure', 'atom_count_mismatch', 'provenance_control_binding_failure']"
delete_file#round1,delete_file,1,True,True,,14,84,1.0,0.643,1.0,0.0,0.129,1.0,0.0,1.0,0.7832,False,"['field_sensitivity_failure', 'provenance_control_binding_failure']"
delete_file#round2,delete_file,2,True,True,,14,84,1.0,0.643,1.0,0.0,0.129,1.0,0.0,1.0,0.7832,False,"['field_sensitivity_failure', 'provenance_control_binding_failure']"
delete_file#round3,delete_file,3,False,False,ValueError:no_json_object,14,84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,['parse_or_compile_failure']
invite_user_to_slack#round0,invite_user_to_slack,0,True,True,,4,24,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.73,False,"['field_sensitivity_failure', 'resource_binding_failure']"
invite_user_to_slack#round1,invite_user_to_slack,1,True,True,,4,24,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.73,False,"['field_sensitivity_failure', 'resource_binding_failure']"
invite_user_to_slack#round2,invite_user_to_slack,2,True,True,,4,24,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.73,False,"['field_sensitivity_failure', 'resource_binding_failure']"
invite_user_to_slack#round3,invite_user_to_slack,3,True,True,,4,24,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.73,False,"['field_sensitivity_failure', 'resource_binding_failure']"
invite_user_to_workspace#round0,invite_user_to_workspace,0,True,True,,1,6,1.0,0.0,1.0,1.0,0.2,1.0,0.0,1.0,0.766,False,"['field_sensitivity_failure', 'resource_binding_failure']"
invite_user_to_workspace#round1,invite_user_to_workspace,1,True,True,,1,6,1.0,0.0,1.0,1.0,0.2,1.0,0.0,1.0,0.766,False,"['field_sensitivity_failure', 'resource_binding_failure']"
invite_user_to_workspace#round2,invite_user_to_workspace,2,True,True,,1,6,1.0,0.0,1.0,1.0,0.2,1.0,0.0,1.0,0.766,False,"['field_sensitivity_failure', 'resource_binding_failure']"
invite_user_to_workspace#round3,invite_user_to_workspace,3,True,True,,1,6,1.0,0.0,1.0,1.0,0.2,1.0,0.0,1.0,0.766,False,"['field_sensitivity_failure', 'resource_binding_failure']"
post_webpage#round0,post_webpage,0,False,False,ValueError:unknown_descriptor_fields:['round_index'],2,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,['parse_or_compile_failure']
post_webpage#round1,post_webpage,1,True,True,,2,12,1.0,0.0,1.0,1.0,0.2,1.0,0.0,1.0,0.766,False,"['field_sensitivity_failure', 'resource_binding_failure']"
post_webpage#round2,post_webpage,2,True,True,,2,12,1.0,0.0,1.0,1.0,0.2,1.0,0.0,1.0,0.766,False,"['field_sensitivity_failure', 'resource_binding_failure']"
post_webpage#round3,post_webpage,3,True,True,,2,12,1.0,0.0,1.0,1.0,0.2,1.0,0.0,1.0,0.766,False,"['field_sensitivity_failure', 'resource_binding_failure']"
reschedule_calendar_event#round0,reschedule_calendar_event,0,True,True,,7,42,0.0,0.571,0.0,1.0,0.114,1.0,0.0,1.0,0.6305,False,"['field_sensitivity_failure', 'atom_count_mismatch', 'operation_commit_binding_failure']"
reschedule_calendar_event#round1,reschedule_calendar_event,1,True,True,,7,42,0.0,0.571,0.0,1.0,0.114,1.0,0.0,1.0,0.6305,False,"['field_sensitivity_failure', 'atom_count_mismatch', 'operation_commit_binding_failure']"
reschedule_calendar_event#round2,reschedule_calendar_event,2,True,True,,7,42,0.0,0.571,0.0,1.0,0.114,1.0,0.0,1.0,0.6305,False,"['field_sensitivity_failure', 'atom_count_mismatch', 'operation_commit_binding_failure']"
reschedule_calendar_event#round3,reschedule_calendar_event,3,True,True,,7,42,0.0,0.571,0.0,1.0,0.114,1.0,0.0,1.0,0.6305,False,"['field_sensitivity_failure', 'atom_count_mismatch', 'operation_commit_binding_failure']"
reserve_hotel#round0,reserve_hotel,0,False,False,"ValueError:unknown_descriptor_fields:['authorization_context_fields', 'domain_counts', 'input_contract', 'n_cases', 'parameter_examples', 'parameter_schema', 'task_excerpts', 'tool_onboarding_view']",8,48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,['parse_or_compile_failure']
reserve_hotel#round1,reserve_hotel,1,True,True,,8,48,1.0,0.0,1.0,1.0,0.2,1.0,0.0,1.0,0.766,False,"['field_sensitivity_failure', 'resource_binding_failure']"
reserve_hotel#round2,reserve_hotel,2,True,True,,8,48,1.0,0.0,1.0,1.0,0.2,1.0,0.0,1.0,0.766,False,"['field_sensitivity_failure', 'resource_binding_failure']"
reserve_hotel#round3,reserve_hotel,3,True,True,,8,48,1.0,0.0,1.0,1.0,0.2,1.0,0.0,1.0,0.766,False,"['field_sensitivity_failure', 'resource_binding_failure']"
schedule_transaction#round0,schedule_transaction,0,True,True,,16,96,0.0,0.0,0.0,1.0,0.2,1.0,0.0,1.0,0.566,False,"['field_sensitivity_failure', 'atom_count_mismatch', 'resource_binding_failure', 'operation_commit_binding_failure']"
schedule_transaction#round1,schedule_transaction,1,True,True,,16,96,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.53,False,"['field_sensitivity_failure', 'atom_count_mismatch', 'resource_binding_failure', 'operation_commit_binding_failure']"
schedule_transaction#round2,schedule_transaction,2,True,True,,16,96,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.53,False,"['field_sensitivity_failure', 'atom_count_mismatch', 'resource_binding_failure', 'operation_commit_binding_failure']"
schedule_transaction#round3,schedule_transaction,3,True,True,,16,96,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.53,False,"['field_sensitivity_failure', 'atom_count_mismatch', 'resource_binding_failure', 'operation_commit_binding_failure']"
send_channel_message#round0,send_channel_message,0,False,False,ValueError:unknown_descriptor_fields:['tool_onboarding_view'],5,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,['parse_or_compile_failure']
send_channel_message#round1,send_channel_message,1,True,True,,5,30,1.0,0.0,1.0,1.0,0.4,1.0,0.0,1.0,0.802,False,"['field_sensitivity_failure', 'resource_binding_failure']"
send_channel_message#round2,send_channel_message,2,True,True,,5,30,1.0,0.0,1.0,1.0,0.4,1.0,0.0,1.0,0.802,False,"['field_sensitivity_failure', 'resource_binding_failure']"
send_channel_message#round3,send_channel_message,3,True,True,,5,30,1.0,0.0,1.0,1.0,0.4,1.0,0.0,1.0,0.802,False,"['field_sensitivity_failure', 'resource_binding_failure']"
send_direct_message#round0,send_direct_message,0,True,True,,11,66,1.0,0.0,0.0,1.0,0.2,1.0,0.0,1.0,0.686,False,"['field_sensitivity_failure', 'resource_binding_failure', 'operation_commit_binding_failure']"
send_direct_message#round1,send_direct_message,1,True,True,,11,66,1.0,0.0,0.0,1.0,0.2,1.0,0.0,1.0,0.686,False,"['field_sensitivity_failure', 'resource_binding_failure', 'operation_commit_binding_failure']"
send_direct_message#round2,send_direct_message,2,True,True,,11,66,1.0,0.0,0.0,1.0,0.2,1.0,0.0,1.0,0.686,False,"['field_sensitivity_failure', 'resource_binding_failure', 'operation_commit_binding_failure']"
send_direct_message#round3,send_direct_message,3,True,True,,11,66,1.0,0.0,0.0,1.0,0.2,1.0,0.0,1.0,0.686,False,"['field_sensitivity_failure', 'resource_binding_failure', 'operation_commit_binding_failure']"
send_email#round0,send_email,0,True,True,,5,35,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.73,False,"['field_sensitivity_failure', 'resource_binding_failure']"
send_email#round1,send_email,1,True,True,,5,35,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.73,False,"['field_sensitivity_failure', 'resource_binding_failure']"
send_email#round2,send_email,2,True,True,,5,35,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.73,False,"['field_sensitivity_failure', 'resource_binding_failure']"
send_email#round3,send_email,3,True,True,,5,35,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.73,False,"['field_sensitivity_failure', 'resource_binding_failure']"
send_message#round0,send_message,0,True,True,,1,6,1.0,0.0,1.0,1.0,0.2,1.0,0.0,1.0,0.766,False,"['field_sensitivity_failure', 'resource_binding_failure']"
