condition,rep,n,utility_successes,utility_rate
no_guard,matched-r1,97,70,0.7216494845360825
spotlighting,matched-r1,97,75,0.7731958762886598
c1f,matched-r1,97,78,0.8041237113402062
no_guard,matched-r2,97,73,0.7525773195876289
spotlighting,matched-r2,97,82,0.845360824742268
c1f,matched-r2,97,71,0.7319587628865979
no_guard,matched-r3,97,80,0.8247422680412371
spotlighting,matched-r3,97,75,0.7731958762886598
c1f,matched-r3,97,75,0.7731958762886598
no_guard,matched-r4,97,78,0.8041237113402062
spotlighting,matched-r4,97,73,0.7525773195876289
c1f,matched-r4,97,73,0.7525773195876289
