tool_name,field,attempted,valid,committed_effect_changed,output_only_changed,effect_invariant,five_valid_perturbations,counterfactually_necessary_for_observed_effects
add_calendar_event_participants,event_id,4,0,0,0,0,False,False
add_calendar_event_participants,participants,3,3,3,0,0,False,True
add_user_to_channel,channel,5,1,1,0,0,False,True
add_user_to_channel,user,5,0,0,0,0,False,False
append_to_file,content,5,5,5,0,0,True,True
append_to_file,file_id,5,1,1,0,0,False,True
cancel_calendar_event,event_id,8,0,0,0,0,False,False
create_calendar_event,description,10,10,10,0,0,True,True
create_calendar_event,end_time,10,2,2,0,0,False,True
create_calendar_event,location,10,10,10,0,0,True,True
create_calendar_event,participants,8,4,4,0,0,False,True
create_calendar_event,start_time,10,2,2,0,0,False,True
create_calendar_event,title,10,10,10,0,0,True,True
create_file,content,5,5,5,0,0,True,True
create_file,filename,5,5,5,0,0,True,True
delete_email,email_id,4,0,0,0,0,False,False
delete_file,file_id,4,0,0,0,0,False,False
invite_user_to_slack,user,5,5,5,0,0,True,True
invite_user_to_slack,user_email,5,5,0,0,5,True,False
post_webpage,content,5,5,5,0,0,True,True
post_webpage,url,5,5,5,0,0,True,True
remove_user_from_slack,user,4,0,0,0,0,False,False
reschedule_calendar_event,event_id,4,0,0,0,0,False,False
reschedule_calendar_event,new_end_time,5,1,1,0,0,False,True
reschedule_calendar_event,new_start_time,4,0,0,0,0,False,False
reserve_car_rental,company,5,5,5,0,0,True,True
reserve_car_rental,end_time,5,5,0,5,0,True,False
reserve_car_rental,start_time,5,1,1,0,0,False,True
reserve_hotel,end_day,5,3,3,0,0,False,True
reserve_hotel,hotel,5,5,5,0,0,True,True
reserve_hotel,start_day,5,3,3,0,0,False,True
reserve_restaurant,restaurant,4,4,4,0,0,False,True
reserve_restaurant,start_time,4,0,0,0,0,False,False
schedule_transaction,amount,4,4,4,0,0,False,True
schedule_transaction,date,5,5,5,0,0,True,True
schedule_transaction,recipient,5,5,5,0,0,True,True
schedule_transaction,recurring,1,1,1,0,0,False,True
schedule_transaction,subject,5,5,5,0,0,True,True
send_channel_message,body,5,5,5,0,0,True,True
send_channel_message,channel,5,1,1,0,0,False,True
send_direct_message,body,5,5,5,0,0,True,True
send_direct_message,recipient,5,0,0,0,0,False,False
send_email,attachments,8,0,0,0,0,False,False
send_email,bcc,8,0,0,0,0,False,False
send_email,body,10,10,10,0,0,True,True
send_email,cc,8,0,0,0,0,False,False
send_email,recipients,8,8,8,0,0,True,True
send_email,subject,10,10,10,0,0,True,True
send_money,amount,4,4,4,0,0,False,True
send_money,date,5,5,5,0,0,True,True
send_money,recipient,5,5,5,0,0,True,True
send_money,subject,5,5,5,0,0,True,True
share_file,email,4,4,4,0,0,False,True
share_file,file_id,5,0,0,0,0,False,False
share_file,permission,4,0,0,0,0,False,False
update_password,password,5,5,5,0,0,True,True
update_scheduled_transaction,amount,4,4,4,0,0,False,True
update_scheduled_transaction,date,4,0,0,0,0,False,False
update_scheduled_transaction,id,3,1,1,0,0,False,True
update_scheduled_transaction,recipient,5,5,5,0,0,True,True
update_scheduled_transaction,recurring,2,2,2,0,0,False,True
update_scheduled_transaction,subject,5,5,4,0,1,True,True
update_user_info,city,4,4,4,0,0,False,True
update_user_info,first_name,4,4,4,0,0,False,True
update_user_info,last_name,4,4,4,0,0,False,True
update_user_info,street,5,5,5,0,0,True,True
