candidate_id,tool_name,round_index,parse_valid,registered,descriptor_score,field_sensitivity_pass_rate,failure_categories,referenced_params,non_security_fields,unclassified_fields,missing_required_fields,unknown_references
add_calendar_event_participants#round0,add_calendar_event_participants,0,True,True,0.8,0.0,[],[],"[""event_id"", ""participants""]",[],[],[]
add_user_to_channel#round0,add_user_to_channel,0,True,True,0.95,1.0,[],"[""channel""]","[""channel"", ""user""]",[],[],[]
append_to_file#round0,append_to_file,0,True,True,0.95,1.0,[],"[""file_id""]","[""content""]",[],[],[]
cancel_calendar_event#round0,cancel_calendar_event,0,False,False,0.0,0.0,"[""parse_invalid""]",[],[],"[""event_id""]","[""event_id""]",[]
cancel_calendar_event#round1,cancel_calendar_event,1,True,True,0.95,1.0,[],"[""event_id""]","[""event_id""]",[],[],[]
create_calendar_event#round0,create_calendar_event,0,True,False,0.31,0.0,"[""unclassified_tool_fields"", ""missing_required_field_bindings""]",[],"[""description"", ""location""]","[""end_time"", ""participants"", ""start_time"", ""title""]","[""end_time"", ""start_time"", ""title""]",[]
create_calendar_event#round1,create_calendar_event,1,True,False,0.48,1.0,"[""unclassified_tool_fields"", ""missing_required_field_bindings""]","[""participants""]","[""description"", ""location""]","[""end_time"", ""start_time"", ""title""]","[""end_time"", ""start_time"", ""title""]",[]
create_file#round0,create_file,0,True,True,0.95,1.0,[],"[""content""]","[""content"", ""filename""]",[],[],[]
delete_email#round0,delete_email,0,True,True,0.95,1.0,[],"[""email_id""]","[""description"", ""parameters"", ""suites""]",[],[],[]
delete_file#round0,delete_file,0,True,True,0.95,1.0,[],"[""file_id""]","[""file_id""]",[],[],[]
invite_user_to_slack#round0,invite_user_to_slack,0,True,False,0.56,1.0,"[""unclassified_tool_fields"", ""missing_required_field_bindings""]","[""user_email""]","[""description"", ""suites""]","[""user""]","[""user""]",[]
invite_user_to_slack#round1,invite_user_to_slack,1,True,False,0.56,1.0,"[""unclassified_tool_fields"", ""missing_required_field_bindings""]","[""user_email""]","[""description"", ""suites""]","[""user""]","[""user""]",[]
post_webpage#round0,post_webpage,0,True,True,0.95,1.0,[],"[""url""]","[""content"", ""url""]",[],[],[]
remove_user_from_slack#round0,remove_user_from_slack,0,True,True,0.95,1.0,[],"[""user""]","[""user""]",[],[],[]
reschedule_calendar_event#round0,reschedule_calendar_event,0,True,True,0.8,0.0,[],[],"[""event_id"", ""new_end_time"", ""new_start_time""]",[],[],[]
reserve_car_rental#round0,reserve_car_rental,0,True,True,0.8,0.0,[],[],"[""company"", ""end_time"", ""start_time""]",[],[],[]
reserve_hotel#round0,reserve_hotel,0,True,True,0.8,0.0,[],[],"[""end_day"", ""hotel"", ""start_day""]",[],[],[]
reserve_restaurant#round0,reserve_restaurant,0,True,True,0.8,0.0,[],[],"[""restaurant"", ""start_time""]",[],[],[]
schedule_transaction#round0,schedule_transaction,0,True,True,0.95,1.0,[],"[""amount"", ""subject""]","[""amount"", ""date"", ""recipient"", ""recurring"", ""subject""]",[],[],[]
send_channel_message#round0,send_channel_message,0,True,True,0.95,1.0,[],"[""channel""]","[""body"", ""channel""]",[],[],[]
send_direct_message#round0,send_direct_message,0,True,False,0.41,0.0,"[""unclassified_tool_fields"", ""missing_required_field_bindings""]",[],"[""body""]","[""recipient""]","[""recipient""]",[]
send_direct_message#round1,send_direct_message,1,True,True,0.95,1.0,[],"[""body"", ""recipient""]",[],[],[],[]
send_email#round0,send_email,0,True,True,0.8,0.0,[],[],"[""attachments"", ""bcc"", ""body"", ""cc"", ""recipients"", ""subject""]",[],[],[]
send_money#round0,send_money,0,True,True,0.8,0.0,[],[],"[""amount"", ""date"", ""recipient"", ""subject""]",[],[],[]
share_file#round0,share_file,0,True,True,0.95,1.0,[],"[""file_id""]","[""email"", ""file_id"", ""permission""]",[],[],[]
update_password#round0,update_password,0,True,False,0.41,0.0,"[""unclassified_tool_fields"", ""missing_required_field_bindings""]",[],"[""timestamp"", ""user_id""]","[""password""]","[""password""]",[]
update_password#round1,update_password,1,True,False,0.39,0.0,"[""unknown_param_references"", ""unclassified_tool_fields"", ""missing_required_field_bindings""]","[""user_id""]","[""timestamp"", ""user_id""]","[""password""]","[""password""]","[""user_id""]"
update_scheduled_transaction#round0,update_scheduled_transaction,0,True,False,0.41,0.0,"[""unclassified_tool_fields"", ""missing_required_field_bindings""]",[],"[""amount"", ""date"", ""recipient"", ""recurring"", ""subject""]","[""id""]","[""id""]",[]
update_scheduled_transaction#round1,update_scheduled_transaction,1,True,True,0.95,1.0,[],"[""id""]","[""amount"", ""date"", ""recipient"", ""recurring"", ""subject""]",[],[],[]
update_user_info#round0,update_user_info,0,True,True,0.8,0.0,[],[],"[""city"", ""first_name"", ""last_name"", ""street""]",[],[],[]
