abstain,alias_authorization_accuracy,atom_expansion_exact_match,coverage,decision_accuracy,method,multi_resource_authorization_accuracy,operation_mode_authorization_accuracy,provenance_authorization_accuracy,public_link_visibility_detection,safe_false_deny,unsafe_pre_allow
0.0,0.4,0.0,1.0,0.38,allow_all,0.37209302325581395,0.35294117647058826,0.0,0.5384615384615384,0.0,1.0
0.0,0.6,0.0,1.0,0.54,deny_all,0.5581395348837209,0.4117647058823529,0.5555555555555556,0.46153846153846156,1.0,0.0
0.0,0.6,0.0,1.0,0.56,tool_name_proxy,0.5813953488372093,0.4117647058823529,0.1111111111111111,0.6153846153846154,0.0,0.6666666666666666
0.12,0.4,0.0,0.88,0.64,text_rule_proxy,0.6511627906976745,0.5294117647058824,1.0,0.6923076923076923,0.0,0.5925925925925926
0.8,0.0,0.0,0.2,0.1,existing_hard_effect_binding_guard,0.09302325581395349,0.29411764705882354,0.0,0.6923076923076923,0.0,0.037037037037037035
0.08,1.0,1.0,0.92,1.0,authz_aware_effect_binding_guard,1.0,1.0,1.0,0.9230769230769231,0.0,0.0
0.08,0.6,1.0,0.92,0.92,authz_aware_no_alias_resolution,0.9302325581395349,1.0,1.0,0.8461538461538461,0.21052631578947367,0.0
0.08,0.9,0.3,0.92,0.82,authz_aware_no_multi_resource_expansion,0.7906976744186046,0.9411764705882353,1.0,0.8461538461538461,0.0,0.3333333333333333
0.08,1.0,1.0,0.92,0.92,authz_aware_no_operation_mode,0.9302325581395349,0.7647058823529411,1.0,0.8461538461538461,0.0,0.14814814814814814
0.06,1.0,1.0,0.94,0.9,authz_aware_no_provenance_overlay,0.9069767441860465,0.8823529411764706,0.4444444444444444,0.8461538461538461,0.0,0.14814814814814814
0.12,1.0,0.96,0.88,0.96,authz_aware_no_evidence_fallback,0.9767441860465116,0.8823529411764706,1.0,0.8461538461538461,0.0,0.0
