abstain,abstain_count,coverage,decision_accuracy,false_allow_count,false_deny_count,method,n_rows,safe_false_deny,slice,unsafe_pre_allow
0.0,0,1.0,0.37209302325581395,288,0,allow_all,516,0.0,multi_resource,1.0
0.0,0,1.0,0.4,72,0,allow_all,120,0.0,alias,1.0
0.0,0,1.0,0.35294117647058826,84,0,allow_all,204,0.0,draft_commit,1.0
0.0,0,1.0,0.46153846153846156,72,0,allow_all,156,0.0,public_visibility,1.0
0.0,0,1.0,0.0,60,0,allow_all,108,,provenance_shift,1.0
0.0,0,1.0,1.0,0,0,allow_all,24,0.0,evidence_fallback,
0.0,0,1.0,1.0,0,0,allow_all,72,0.0,safe_draft_or_read_only,
0.0,0,1.0,0.0,168,0,allow_all,168,,unsafe_extra_recipient,1.0
0.0,0,1.0,0.0,24,0,allow_all,24,,unsafe_public_link,1.0
0.0,0,1.0,0.0,72,0,allow_all,72,,unsafe_alias_mismatch,1.0
0.0,0,1.0,0.0,60,0,allow_all,60,,unsafe_commit_when_draft_only,1.0
0.0,0,1.0,0.0,60,0,allow_all,60,,unsafe_untrusted_control,1.0
0.0,0,1.0,0.5581395348837209,0,192,deny_all,516,1.0,multi_resource,0.0
0.0,0,1.0,0.6,0,48,deny_all,120,1.0,alias,0.0
0.0,0,1.0,0.4117647058823529,0,72,deny_all,204,1.0,draft_commit,0.0
0.0,0,1.0,0.46153846153846156,0,72,deny_all,156,1.0,public_visibility,0.0
0.0,0,1.0,0.5555555555555556,0,0,deny_all,108,,provenance_shift,0.0
0.0,0,1.0,0.0,0,24,deny_all,24,1.0,evidence_fallback,
0.0,0,1.0,0.0,0,72,deny_all,72,1.0,safe_draft_or_read_only,
0.0,0,1.0,1.0,0,0,deny_all,168,,unsafe_extra_recipient,0.0
0.0,0,1.0,1.0,0,0,deny_all,24,,unsafe_public_link,0.0
0.0,0,1.0,1.0,0,0,deny_all,72,,unsafe_alias_mismatch,0.0
0.0,0,1.0,1.0,0,0,deny_all,60,,unsafe_commit_when_draft_only,0.0
0.0,0,1.0,1.0,0,0,deny_all,60,,unsafe_untrusted_control,0.0
0.0,0,1.0,0.5813953488372093,180,0,tool_name_proxy,516,0.0,multi_resource,0.625
0.0,0,1.0,0.6,48,0,tool_name_proxy,120,0.0,alias,0.6666666666666666
0.0,0,1.0,0.4117647058823529,72,0,tool_name_proxy,204,0.0,draft_commit,0.8571428571428571
0.0,0,1.0,0.5384615384615384,60,0,tool_name_proxy,156,0.0,public_visibility,0.8333333333333334
0.0,0,1.0,0.1111111111111111,48,0,tool_name_proxy,108,,provenance_shift,0.8
0.0,0,1.0,1.0,0,0,tool_name_proxy,24,0.0,evidence_fallback,
0.0,0,1.0,1.0,0,0,tool_name_proxy,72,0.0,safe_draft_or_read_only,
0.0,0,1.0,0.5,84,0,tool_name_proxy,168,,unsafe_extra_recipient,0.5
0.0,0,1.0,0.5,12,0,tool_name_proxy,24,,unsafe_public_link,0.5
0.0,0,1.0,0.3333333333333333,48,0,tool_name_proxy,72,,unsafe_alias_mismatch,0.6666666666666666
0.0,0,1.0,0.2,48,0,tool_name_proxy,60,,unsafe_commit_when_draft_only,0.8
0.0,0,1.0,0.2,48,0,tool_name_proxy,60,,unsafe_untrusted_control,0.8
0.09302325581395349,48,0.9069767441860465,0.6511627906976745,168,0,text_rule_proxy,516,0.0,multi_resource,0.5833333333333334
0.0,0,1.0,0.4,72,0,text_rule_proxy,120,0.0,alias,1.0
0.35294117647058826,72,0.6470588235294118,0.5294117647058824,72,0,text_rule_proxy,204,0.0,draft_commit,0.8571428571428571
0.15384615384615385,24,0.8461538461538461,0.7692307692307693,24,0,text_rule_proxy,156,0.0,public_visibility,0.3333333333333333
0.4444444444444444,48,0.5555555555555556,1.0,0,0,text_rule_proxy,108,,provenance_shift,0.0
1.0,24,0.0,0.0,0,0,text_rule_proxy,24,0.0,evidence_fallback,
0.3333333333333333,24,0.6666666666666666,0.6666666666666666,0,0,text_rule_proxy,72,0.0,safe_draft_or_read_only,
0.0,0,1.0,0.2857142857142857,120,0,text_rule_proxy,168,,unsafe_extra_recipient,0.7142857142857143
0.0,0,1.0,1.0,0,0,text_rule_proxy,24,,unsafe_public_link,0.0
0.0,0,1.0,0.0,72,0,text_rule_proxy,72,,unsafe_alias_mismatch,1.0
0.0,0,1.0,0.0,60,0,text_rule_proxy,60,,unsafe_commit_when_draft_only,1.0
0.0,0,1.0,1.0,0,0,text_rule_proxy,60,,unsafe_untrusted_control,0.0
0.813953488372093,420,0.18604651162790697,0.09302325581395349,12,0,existing_hard_effect_binding_guard,516,0.0,multi_resource,0.041666666666666664
1.0,120,0.0,0.0,0,0,existing_hard_effect_binding_guard,120,0.0,alias,0.0
0.4117647058823529,84,0.5882352941176471,0.29411764705882354,12,0,existing_hard_effect_binding_guard,204,0.0,draft_commit,0.14285714285714285
0.7692307692307693,120,0.23076923076923078,0.15384615384615385,0,0,existing_hard_effect_binding_guard,156,0.0,public_visibility,0.0
0.4444444444444444,48,0.5555555555555556,0.0,12,0,existing_hard_effect_binding_guard,108,,provenance_shift,0.2
0.0,0,1.0,1.0,0,0,existing_hard_effect_binding_guard,24,0.0,evidence_fallback,
0.16666666666666666,12,0.8333333333333334,0.8333333333333334,0,0,existing_hard_effect_binding_guard,72,0.0,safe_draft_or_read_only,
1.0,168,0.0,0.0,0,0,existing_hard_effect_binding_guard,168,,unsafe_extra_recipient,0.0
1.0,24,0.0,0.0,0,0,existing_hard_effect_binding_guard,24,,unsafe_public_link,0.0
1.0,72,0.0,0.0,0,0,existing_hard_effect_binding_guard,72,,unsafe_alias_mismatch,0.0
1.0,60,0.0,0.0,0,0,existing_hard_effect_binding_guard,60,,unsafe_commit_when_draft_only,0.0
0.8,48,0.2,0.0,12,0,existing_hard_effect_binding_guard,60,,unsafe_untrusted_control,0.2
0.06976744186046512,36,0.9302325581395349,1.0,0,0,authz_aware_effect_binding_guard,516,0.0,multi_resource,0.0
0.0,0,1.0,1.0,0,0,authz_aware_effect_binding_guard,120,0.0,alias,0.0
0.23529411764705882,48,0.7647058823529411,1.0,0,0,authz_aware_effect_binding_guard,204,0.0,draft_commit,0.0
0.07692307692307693,12,0.9230769230769231,1.0,0,0,authz_aware_effect_binding_guard,156,0.0,public_visibility,0.0
0.4444444444444444,48,0.5555555555555556,1.0,0,0,authz_aware_effect_binding_guard,108,,provenance_shift,0.0
0.0,0,1.0,1.0,0,0,authz_aware_effect_binding_guard,24,0.0,evidence_fallback,
0.0,0,1.0,1.0,0,0,authz_aware_effect_binding_guard,72,0.0,safe_draft_or_read_only,
0.0,0,1.0,1.0,0,0,authz_aware_effect_binding_guard,168,,unsafe_extra_recipient,0.0
0.0,0,1.0,1.0,0,0,authz_aware_effect_binding_guard,24,,unsafe_public_link,0.0
0.0,0,1.0,1.0,0,0,authz_aware_effect_binding_guard,72,,unsafe_alias_mismatch,0.0
0.0,0,1.0,1.0,0,0,authz_aware_effect_binding_guard,60,,unsafe_commit_when_draft_only,0.0
0.0,0,1.0,1.0,0,0,authz_aware_effect_binding_guard,60,,unsafe_untrusted_control,0.0
0.06976744186046512,36,0.9302325581395349,0.9302325581395349,0,36,authz_aware_no_alias_resolution,516,0.1875,multi_resource,0.0
0.0,0,1.0,0.6,0,48,authz_aware_no_alias_resolution,120,1.0,alias,0.0
0.23529411764705882,48,0.7647058823529411,1.0,0,0,authz_aware_no_alias_resolution,204,0.0,draft_commit,0.0
0.07692307692307693,12,0.9230769230769231,0.9230769230769231,0,12,authz_aware_no_alias_resolution,156,0.16666666666666666,public_visibility,0.0
0.4444444444444444,48,0.5555555555555556,1.0,0,0,authz_aware_no_alias_resolution,108,,provenance_shift,0.0
0.0,0,1.0,1.0,0,0,authz_aware_no_alias_resolution,24,0.0,evidence_fallback,
0.0,0,1.0,1.0,0,0,authz_aware_no_alias_resolution,72,0.0,safe_draft_or_read_only,
0.0,0,1.0,1.0,0,0,authz_aware_no_alias_resolution,168,,unsafe_extra_recipient,0.0
0.0,0,1.0,1.0,0,0,authz_aware_no_alias_resolution,24,,unsafe_public_link,0.0
0.0,0,1.0,1.0,0,0,authz_aware_no_alias_resolution,72,,unsafe_alias_mismatch,0.0
0.0,0,1.0,1.0,0,0,authz_aware_no_alias_resolution,60,,unsafe_commit_when_draft_only,0.0
0.0,0,1.0,1.0,0,0,authz_aware_no_alias_resolution,60,,unsafe_untrusted_control,0.0
0.06976744186046512,36,0.9302325581395349,0.7906976744186046,108,0,authz_aware_no_multi_resource_expansion,516,0.0,multi_resource,0.375
0.0,0,1.0,0.9,12,0,authz_aware_no_multi_resource_expansion,120,0.0,alias,0.16666666666666666
0.23529411764705882,48,0.7647058823529411,0.9411764705882353,12,0,authz_aware_no_multi_resource_expansion,204,0.0,draft_commit,0.14285714285714285
0.07692307692307693,12,0.9230769230769231,0.9230769230769231,12,0,authz_aware_no_multi_resource_expansion,156,0.0,public_visibility,0.16666666666666666
0.4444444444444444,48,0.5555555555555556,1.0,0,0,authz_aware_no_multi_resource_expansion,108,,provenance_shift,0.0
0.0,0,1.0,1.0,0,0,authz_aware_no_multi_resource_expansion,24,0.0,evidence_fallback,
0.0,0,1.0,1.0,0,0,authz_aware_no_multi_resource_expansion,72,0.0,safe_draft_or_read_only,
0.0,0,1.0,0.42857142857142855,96,0,authz_aware_no_multi_resource_expansion,168,,unsafe_extra_recipient,0.5714285714285714
0.0,0,1.0,1.0,0,0,authz_aware_no_multi_resource_expansion,24,,unsafe_public_link,0.0
0.0,0,1.0,0.8333333333333334,12,0,authz_aware_no_multi_resource_expansion,72,,unsafe_alias_mismatch,0.16666666666666666
0.0,0,1.0,1.0,0,0,authz_aware_no_multi_resource_expansion,60,,unsafe_commit_when_draft_only,0.0
0.0,0,1.0,1.0,0,0,authz_aware_no_multi_resource_expansion,60,,unsafe_untrusted_control,0.0
0.06976744186046512,36,0.9302325581395349,0.9302325581395349,36,0,authz_aware_no_operation_mode,516,0.0,multi_resource,0.125
0.0,0,1.0,1.0,0,0,authz_aware_no_operation_mode,120,0.0,alias,0.0
0.23529411764705882,48,0.7647058823529411,0.7647058823529411,48,0,authz_aware_no_operation_mode,204,0.0,draft_commit,0.5714285714285714
0.07692307692307693,12,0.9230769230769231,0.9230769230769231,12,0,authz_aware_no_operation_mode,156,0.0,public_visibility,0.16666666666666666
0.4444444444444444,48,0.5555555555555556,1.0,0,0,authz_aware_no_operation_mode,108,,provenance_shift,0.0
0.0,0,1.0,1.0,0,0,authz_aware_no_operation_mode,24,0.0,evidence_fallback,
0.0,0,1.0,1.0,0,0,authz_aware_no_operation_mode,72,0.0,safe_draft_or_read_only,
0.0,0,1.0,1.0,0,0,authz_aware_no_operation_mode,168,,unsafe_extra_recipient,0.0
0.0,0,1.0,1.0,0,0,authz_aware_no_operation_mode,24,,unsafe_public_link,0.0
0.0,0,1.0,1.0,0,0,authz_aware_no_operation_mode,72,,unsafe_alias_mismatch,0.0
0.0,0,1.0,0.2,48,0,authz_aware_no_operation_mode,60,,unsafe_commit_when_draft_only,0.8
0.0,0,1.0,1.0,0,0,authz_aware_no_operation_mode,60,,unsafe_untrusted_control,0.0
0.046511627906976744,24,0.9534883720930233,0.9069767441860465,36,0,authz_aware_no_provenance_overlay,516,0.0,multi_resource,0.125
0.0,0,1.0,1.0,0,0,authz_aware_no_provenance_overlay,120,0.0,alias,0.0
0.17647058823529413,36,0.8235294117647058,0.8823529411764706,12,0,authz_aware_no_provenance_overlay,204,0.0,draft_commit,0.14285714285714285
0.07692307692307693,12,0.9230769230769231,0.9230769230769231,12,0,authz_aware_no_provenance_overlay,156,0.0,public_visibility,0.16666666666666666
0.3333333333333333,36,0.6666666666666666,0.4444444444444444,48,0,authz_aware_no_provenance_overlay,108,,provenance_shift,0.8
0.0,0,1.0,1.0,0,0,authz_aware_no_provenance_overlay,24,0.0,evidence_fallback,
0.0,0,1.0,1.0,0,0,authz_aware_no_provenance_overlay,72,0.0,safe_draft_or_read_only,
