method,slice,n_rows,unsafe_pre_allow,safe_false_deny,coverage,decision_accuracy,atom_expansion_exact_match
allow_all,multi_resource,516,1.0,0.0,1.0,0.4418604651162791,0.0
allow_all,draft_commit,204,1.0,0.0,1.0,0.29411764705882354,0.0
allow_all,alias,120,1.0,0.0,1.0,0.5,0.0
allow_all,public_visibility,156,1.0,0.0,1.0,0.38461538461538464,0.0
allow_all,provenance_shift,108,1.0,,1.0,0.0,0.0
allow_all,evidence_fallback,24,,,1.0,0.0,0.0
authz_aware_effect_binding_guard,multi_resource,516,0.0,0.0,0.9069767441860465,1.0,1.0
authz_aware_effect_binding_guard,draft_commit,204,0.0,0.0,0.6470588235294118,1.0,1.0
authz_aware_effect_binding_guard,alias,120,0.0,0.0,1.0,1.0,1.0
authz_aware_effect_binding_guard,public_visibility,156,0.0,0.0,0.8461538461538461,1.0,1.0
authz_aware_effect_binding_guard,provenance_shift,108,0.0,,0.5555555555555556,1.0,1.0
authz_aware_effect_binding_guard,evidence_fallback,24,,,0.0,1.0,1.0
authz_aware_no_alias_resolution,multi_resource,516,0.0,0.21052631578947367,0.9069767441860465,0.9069767441860465,1.0
authz_aware_no_alias_resolution,draft_commit,204,0.0,0.0,0.6470588235294118,1.0,1.0
authz_aware_no_alias_resolution,alias,120,0.0,1.0,1.0,0.5,1.0
authz_aware_no_alias_resolution,public_visibility,156,0.0,0.2,0.8461538461538461,0.9230769230769231,1.0
authz_aware_no_alias_resolution,provenance_shift,108,0.0,,0.5555555555555556,1.0,1.0
authz_aware_no_alias_resolution,evidence_fallback,24,,,0.0,1.0,1.0
authz_aware_no_evidence_fallback,multi_resource,516,0.0,0.0,0.9069767441860465,1.0,1.0
authz_aware_no_evidence_fallback,draft_commit,204,0.0,0.0,0.6470588235294118,1.0,1.0
authz_aware_no_evidence_fallback,alias,120,0.0,0.0,1.0,1.0,1.0
authz_aware_no_evidence_fallback,public_visibility,156,0.0,0.0,0.8461538461538461,1.0,1.0
authz_aware_no_evidence_fallback,provenance_shift,108,0.0,,0.5555555555555556,1.0,1.0
authz_aware_no_evidence_fallback,evidence_fallback,24,,,0.0,1.0,1.0
authz_aware_no_multi_resource_expansion,multi_resource,516,0.25,0.0,0.9069767441860465,0.8837209302325582,0.18604651162790697
authz_aware_no_multi_resource_expansion,draft_commit,204,0.0,0.0,0.6470588235294118,1.0,0.4117647058823529
authz_aware_no_multi_resource_expansion,alias,120,0.0,0.0,1.0,1.0,0.2
authz_aware_no_multi_resource_expansion,public_visibility,156,0.16666666666666666,0.0,0.8461538461538461,0.9230769230769231,0.23076923076923078
authz_aware_no_multi_resource_expansion,provenance_shift,108,0.0,,0.5555555555555556,1.0,0.2222222222222222
authz_aware_no_multi_resource_expansion,evidence_fallback,24,,,0.0,1.0,1.0
authz_aware_no_operation_mode,multi_resource,516,0.2,0.0,0.9069767441860465,0.9069767441860465,1.0
authz_aware_no_operation_mode,draft_commit,204,0.8333333333333334,0.0,0.6470588235294118,0.7058823529411765,1.0
authz_aware_no_operation_mode,alias,120,0.0,0.0,1.0,1.0,1.0
authz_aware_no_operation_mode,public_visibility,156,0.16666666666666666,0.0,0.8461538461538461,0.9230769230769231,1.0
authz_aware_no_operation_mode,provenance_shift,108,0.0,,0.5555555555555556,1.0,1.0
authz_aware_no_operation_mode,evidence_fallback,24,,,0.0,1.0,1.0
authz_aware_no_provenance_overlay,multi_resource,516,0.2,0.0,0.9069767441860465,0.9069767441860465,1.0
authz_aware_no_provenance_overlay,draft_commit,204,0.16666666666666666,0.0,0.6470588235294118,0.9411764705882353,1.0
authz_aware_no_provenance_overlay,alias,120,0.0,0.0,1.0,1.0,1.0
authz_aware_no_provenance_overlay,public_visibility,156,0.16666666666666666,0.0,0.8461538461538461,0.9230769230769231,1.0
authz_aware_no_provenance_overlay,provenance_shift,108,1.0,,0.5555555555555556,0.4444444444444444,1.0
authz_aware_no_provenance_overlay,evidence_fallback,24,,,0.0,1.0,1.0
deny_all,multi_resource,516,0.0,1.0,1.0,0.46511627906976744,0.0
deny_all,draft_commit,204,0.0,1.0,1.0,0.35294117647058826,0.0
deny_all,alias,120,0.0,1.0,1.0,0.5,0.0
deny_all,public_visibility,156,0.0,1.0,1.0,0.46153846153846156,0.0
deny_all,provenance_shift,108,0.0,,1.0,0.5555555555555556,0.0
deny_all,evidence_fallback,24,,,1.0,0.0,0.0
existing_hard_effect_binding_guard,multi_resource,516,0.05,0.0,0.18604651162790697,0.06976744186046512,0.0
existing_hard_effect_binding_guard,draft_commit,204,0.16666666666666666,0.0,0.5882352941176471,0.17647058823529413,0.0
existing_hard_effect_binding_guard,alias,120,0.0,0.0,0.0,0.0,0.0
existing_hard_effect_binding_guard,public_visibility,156,0.0,0.0,0.23076923076923078,0.07692307692307693,0.0
existing_hard_effect_binding_guard,provenance_shift,108,0.2,,0.5555555555555556,0.0,0.0
existing_hard_effect_binding_guard,evidence_fallback,24,,,1.0,0.0,0.0
text_rule_proxy,multi_resource,516,0.5,0.0,0.9069767441860465,0.7674418604651163,0.0
text_rule_proxy,draft_commit,204,0.8333333333333334,0.0,0.6470588235294118,0.7058823529411765,0.0
text_rule_proxy,alias,120,1.0,0.0,1.0,0.5,0.0
text_rule_proxy,public_visibility,156,0.3333333333333333,0.0,0.8461538461538461,0.8461538461538461,0.0
text_rule_proxy,provenance_shift,108,0.0,,0.5555555555555556,1.0,0.0
text_rule_proxy,evidence_fallback,24,,,0.0,1.0,0.0
tool_name_proxy,multi_resource,516,0.7,0.15789473684210525,1.0,0.5116279069767442,0.0
tool_name_proxy,draft_commit,204,0.8333333333333334,0.0,1.0,0.35294117647058826,0.0
tool_name_proxy,alias,120,0.8,0.2,1.0,0.5,0.0
tool_name_proxy,public_visibility,156,0.8333333333333334,0.0,1.0,0.46153846153846156,0.0
tool_name_proxy,provenance_shift,108,0.8,,1.0,0.1111111111111111,0.0
tool_name_proxy,evidence_fallback,24,,,1.0,0.0,0.0
