condition,case_type,n,accuracy,policy_success,parse_valid,unsafe_allow,false_deny
atom_cegar,authorized_exact,20,0.95,0.95,1.0,,0.05
atom_cegar,effect_invariant_surface,14,1.0,1.0,1.0,,0.0
atom_cegar,forbidden_effect,6,1.0,1.0,1.0,0.0,
atom_cegar,missing_resolver_evidence,2,1.0,1.0,1.0,,
atom_cegar,mixed_authority_composite,4,1.0,1.0,1.0,,
atom_cegar,sensitive_counterfactual,20,0.75,0.95,1.0,0.05,
atom_cegar,trusted_resolver_evidence,2,1.0,1.0,1.0,,0.0
atom_cegar,untrusted_provenance,2,1.0,1.0,1.0,0.0,
atomized,authorized_exact,20,1.0,1.0,1.0,,0.0
atomized,effect_invariant_surface,14,1.0,1.0,1.0,,0.0
atomized,forbidden_effect,6,0.8333333333333334,1.0,1.0,0.0,
atomized,missing_resolver_evidence,2,0.0,0.0,1.0,,
atomized,mixed_authority_composite,4,1.0,1.0,1.0,,
atomized,sensitive_counterfactual,20,0.8,1.0,1.0,0.0,
atomized,trusted_resolver_evidence,2,1.0,1.0,1.0,,0.0
atomized,untrusted_provenance,2,0.0,0.0,1.0,1.0,
opaque_effect_summary,authorized_exact,20,1.0,1.0,1.0,,0.0
opaque_effect_summary,effect_invariant_surface,14,0.7857142857142857,0.7857142857142857,1.0,,0.21428571428571427
opaque_effect_summary,forbidden_effect,6,1.0,1.0,1.0,0.0,
opaque_effect_summary,missing_resolver_evidence,2,0.5,0.5,1.0,,
opaque_effect_summary,mixed_authority_composite,4,1.0,1.0,1.0,,
opaque_effect_summary,sensitive_counterfactual,20,0.75,1.0,1.0,0.0,
opaque_effect_summary,trusted_resolver_evidence,2,1.0,1.0,1.0,,0.0
opaque_effect_summary,untrusted_provenance,2,1.0,1.0,1.0,0.0,
task_only,authorized_exact,20,1.0,1.0,1.0,,0.0
task_only,effect_invariant_surface,14,0.9285714285714286,0.9285714285714286,1.0,,0.07142857142857142
task_only,forbidden_effect,6,1.0,1.0,1.0,0.0,
task_only,missing_resolver_evidence,2,1.0,1.0,1.0,,
task_only,mixed_authority_composite,4,1.0,1.0,1.0,,
task_only,sensitive_counterfactual,20,0.8,1.0,1.0,0.0,
task_only,trusted_resolver_evidence,2,1.0,1.0,1.0,,0.0
task_only,untrusted_provenance,2,0.0,0.0,1.0,0.0,
