label,value,successes,total,source,key_path,paper_location
E48 rows,822,,,results/analysis/results/e48_tuple_guard_results.json,manifest.n_rows,Tables 2; Results
E48 pairwise relations,6840,,,results/analysis/results/e48_tuple_guard_results.json,manifest.n_pairs,Tables 2; Results
E48 full hard guard coverage,0.9172749391727494,754,822,results/analysis/results/e48_tuple_guard_results.json,methods.effect_binding_guard_full.overall.coverage,Tables 2; Results
E48 full hard guard UPA,0.03611111111111111,13,360,results/analysis/results/e48_tuple_guard_results.json,methods.effect_binding_guard_full.overall.unsafe_pre_allow,Tables 2; Results
E48 full hard guard FDeny,0.06493506493506493,30,462,results/analysis/results/e48_tuple_guard_results.json,methods.effect_binding_guard_full.overall.safe_false_deny,Tables 2; Results
E48 held-out coverage,0.9553571428571429,214,224,results/analysis/results/e48_tuple_guard_results.json,methods.effect_binding_guard_full.by_split.test.coverage,Tables 2; Results
E48 held-out UPA,0.05102040816326531,5,98,results/analysis/results/e48_tuple_guard_results.json,methods.effect_binding_guard_full.by_split.test.unsafe_pre_allow,Tables 2; Results
E48 held-out FDeny,0.047619047619047616,6,126,results/analysis/results/e48_tuple_guard_results.json,methods.effect_binding_guard_full.by_split.test.safe_false_deny,Tables 2; Results
E50 source-balanced coverage mean,0.923076923076923,,,results/analysis/results/e50_hard_guard_robustness_results.json,source_balanced.aggregate_fixed_policy.coverage.mean,Tables 2-3; Results
E50 source-balanced UPA mean,0.051351351351351354,,,results/analysis/results/e50_hard_guard_robustness_results.json,source_balanced.aggregate_fixed_policy.unsafe_pre_allow.mean,Tables 2-3; Results
E50 source-balanced FDeny mean,0.05894736842105263,,,results/analysis/results/e50_hard_guard_robustness_results.json,source_balanced.aggregate_fixed_policy.safe_false_deny.mean,Tables 2-3; Results
E50 resource/auth rows,240,,,results/analysis/results/e50_hard_guard_robustness_results.json,resource_authorization_stress.n_rows,Tables 2-3; Results
E50 resource/auth coverage,0.9208333333333333,221,240,results/analysis/results/e50_hard_guard_robustness_results.json,resource_authorization_stress.methods.effect_binding_guard_full.overall.coverage,Tables 2-3; Results
E50 resource/auth UPA,0.38333333333333336,46,120,results/analysis/results/e50_hard_guard_robustness_results.json,resource_authorization_stress.methods.effect_binding_guard_full.overall.unsafe_pre_allow,Tables 2-3; Results
E50 resource/auth FDeny,0.0,0,120,results/analysis/results/e50_hard_guard_robustness_results.json,resource_authorization_stress.methods.effect_binding_guard_full.overall.safe_false_deny,Tables 2-3; Results
E50 provenance rows,336,,,results/analysis/results/e50_hard_guard_robustness_results.json,control_provenance_stress.n_rows,Tables 2-3; Results
E50 provenance coverage,0.5446428571428571,183,336,results/analysis/results/e50_hard_guard_robustness_results.json,control_provenance_stress.methods.effect_binding_guard_full.overall.coverage,Tables 2-3; Results
E50 provenance UPA,0.0,0,144,results/analysis/results/e50_hard_guard_robustness_results.json,control_provenance_stress.methods.effect_binding_guard_full.overall.unsafe_pre_allow,Tables 2-3; Results
E50 provenance FDeny,0.1875,36,192,results/analysis/results/e50_hard_guard_robustness_results.json,control_provenance_stress.methods.effect_binding_guard_full.overall.safe_false_deny,Tables 2-3; Results
E55-v2 strict label-hidden,True,,,audit/analysis/results/e55_v2_precommit_authz_results_strict.json,strict_label_hidden,Tables 4-5; Results
E55-v2 leakage-free,True,,,audit/analysis/results/e55_v2_precommit_authz_results_strict.json,leakage_audit.leakage_free,Tables 4-5; Results
E55-v2 leakage violations,0,,,audit/analysis/results/e55_v2_precommit_authz_results_strict.json,leakage_audit.n_violations,Tables 4-5; Results
E55-v2 rows,600,,,audit/analysis/results/e55_v2_precommit_authz_results_strict.json,dataset.n_rows,Tables 4-5; Results
