metric,display_value,source_value,source_file,key_path,source_type,claim_scope,safe_wording,notes
E55 rows,600,600,analysis/results/e55_precommit_authz_results_strict.json,dataset.n_rows,existing_result_file,controlled local contract evidence,E55 contains 600 deterministic local mock rows.,
E55 domain count,5,5,analysis/results/e55_precommit_authz_results_strict.json,dataset.domain_counts,existing_result_file,controlled local contract evidence,E55 covers five deterministic local mock domains.,Derived by counting dataset.domain_counts keys.
E55 existing hard guard UPA,0.037,0.037037037037037035,analysis/results/e55_precommit_authz_results_strict.json,methods.existing_hard_effect_binding_guard.overall.unsafe_pre_allow.rate,existing_result_file,E55 baseline,Existing hard guard leaves unsafe pre-allow in E55.,
E55 existing hard guard FDeny,0.000,0.0,analysis/results/e55_precommit_authz_results_strict.json,methods.existing_hard_effect_binding_guard.overall.safe_false_deny.rate,existing_result_file,E55 baseline,Existing hard guard avoids false denial but abstains heavily.,
E55 existing hard guard coverage,0.200,0.2,analysis/results/e55_precommit_authz_results_strict.json,methods.existing_hard_effect_binding_guard.overall.coverage.rate,existing_result_file,E55 baseline,Existing hard guard has low coverage.,
E55 existing hard guard abstain,0.800,0.8,analysis/results/e55_precommit_authz_results_strict.json,methods.existing_hard_effect_binding_guard.overall.abstain_rate.rate,existing_result_file,E55 baseline,Existing hard guard is abstention-heavy.,
E55 authz-aware guard UPA,0.000,0.0,analysis/results/e55_precommit_authz_results_strict.json,methods.authz_aware_effect_binding_guard.overall.unsafe_pre_allow.rate,existing_result_file,controlled local contract evidence,Authorization-aware guard eliminates unsafe pre-allow in E55.,
E55 authz-aware guard FDeny,0.000,0.0,analysis/results/e55_precommit_authz_results_strict.json,methods.authz_aware_effect_binding_guard.overall.safe_false_deny.rate,existing_result_file,controlled local contract evidence,Authorization-aware guard does not falsely deny safe E55 rows.,
E55 authz-aware guard coverage,0.920,0.92,analysis/results/e55_precommit_authz_results_strict.json,methods.authz_aware_effect_binding_guard.overall.coverage.rate,existing_result_file,controlled local contract evidence,Authorization-aware guard has high E55 coverage.,
E55 authz-aware guard abstain,0.080,0.08,analysis/results/e55_precommit_authz_results_strict.json,methods.authz_aware_effect_binding_guard.overall.abstain_rate.rate,existing_result_file,controlled local contract evidence,Authorization-aware guard has limited E55 abstention.,
E55 corrected authz-aware UPA,0.000,0.0,analysis/results/e55_human_corrected_sensitivity.json,full_600_minimal_correction.minimal_human_corrected_labels.authz_aware_effect_binding_guard.unsafe_pre_allow.rate,existing_result_file,corrected-label sensitivity,Human-corrected sensitivity preserves zero unsafe pre-allow.,
E55 corrected authz-aware FDeny,0.017,0.017391304347826087,analysis/results/e55_human_corrected_sensitivity.json,full_600_minimal_correction.minimal_human_corrected_labels.authz_aware_effect_binding_guard.safe_false_deny.rate,existing_result_file,corrected-label sensitivity,Human-corrected sensitivity introduces a small false-denial rate.,
E55 corrected authz-aware coverage,0.920,0.92,analysis/results/e55_human_corrected_sensitivity.json,full_600_minimal_correction.minimal_human_corrected_labels.authz_aware_effect_binding_guard.coverage.rate,existing_result_file,corrected-label sensitivity,Human-corrected sensitivity preserves original coverage.,
E55-v2 authz-aware UPA,0.000,0.0,analysis/results/e55_v2_precommit_authz_results_strict.json,methods.authz_aware_effect_binding_guard.overall.unsafe_pre_allow.rate,existing_result_file,corrected rerun,E55-v2 corrected rerun keeps unsafe pre-allow at zero.,
E55-v2 authz-aware FDeny,0.000,0.0,analysis/results/e55_v2_precommit_authz_results_strict.json,methods.authz_aware_effect_binding_guard.overall.safe_false_deny.rate,existing_result_file,corrected rerun,E55-v2 corrected rerun keeps false denial at zero.,
E55-v2 authz-aware coverage,0.880,0.88,analysis/results/e55_v2_precommit_authz_results_strict.json,methods.authz_aware_effect_binding_guard.overall.coverage.rate,existing_result_file,corrected rerun,E55-v2 coverage is lower after removing unknown-resource fallback.,
E56 decision-path audit,passed,True,analysis/results/e55_decision_path_audit.json,passed,existing_result_file,audit evidence,Decision-path audit passed.,
E56 strict replay,passed,True,analysis/results/e56_final_report.json,strict_mode_passed,existing_result_file,audit evidence,Strict label-hidden replay passed.,
