metric,display_value,source_value,source_file,key_path,source_type,claim_scope,safe_wording,notes
E57 perturbation stability,passed,True,analysis/results/e57_validity_checks_report.json,perturbation_stability_passed,existing_result_file,validity diagnostic,Resource-name perturbation stability passed.,
E57 UPA delta,0.000,0.0,analysis/results/e57_validity_checks_report.json,perturbation.authz_aware_upa_delta,existing_result_file,validity diagnostic,Perturbation did not change UPA.,
E57 coverage delta,0.000,0.0,analysis/results/e57_validity_checks_report.json,perturbation.authz_aware_coverage_delta,existing_result_file,validity diagnostic,Perturbation did not change coverage.,
E57 changed decisions,0,0,analysis/results/e57_validity_checks_report.json,perturbation.changed_decision_count,existing_result_file,validity diagnostic,Perturbation changed zero decisions.,
E57 reference decision agreement,1.000,1.0,analysis/results/e57_validity_checks_report.json,reference_authorizer.decision_agreement,existing_result_file,validity diagnostic,Independent reference authorizer agrees on decisions.,
E57 atom count agreement,1.000,1.0,analysis/results/e57_validity_checks_report.json,reference_authorizer.atom_count_agreement,existing_result_file,validity diagnostic,Independent reference authorizer agrees on atom counts.,
E57 atom resource-set agreement,1.000,1.0,analysis/results/e57_validity_checks_report.json,reference_authorizer.atom_resource_set_agreement,existing_result_file,validity diagnostic,Independent reference authorizer agrees on atom resource sets.,
E57 spot-audit rows,60,60,analysis/results/e57_validity_checks_report.json,spot_audit.n_rows,existing_result_file,inspection packet,E57 generated a 60-row spot-audit packet.,
E57-v2 perturbation stability,passed,True,analysis/results/e57_v2_validity_checks_report.json,perturbation_stability_passed,existing_result_file,corrected-rerun validity diagnostic,E55-v2 resource-name perturbation stability passed.,
E57-v2 UPA delta,0.000,0.0,analysis/results/e57_v2_validity_checks_report.json,perturbation.authz_aware_upa_delta,existing_result_file,corrected-rerun validity diagnostic,E55-v2 perturbation did not change UPA.,
E57-v2 coverage delta,0.000,0.0,analysis/results/e57_v2_validity_checks_report.json,perturbation.authz_aware_coverage_delta,existing_result_file,corrected-rerun validity diagnostic,E55-v2 perturbation did not change coverage.,
E57-v2 changed decisions,0,0,analysis/results/e57_v2_validity_checks_report.json,perturbation.changed_decision_count,existing_result_file,corrected-rerun validity diagnostic,E55-v2 perturbation changed zero decisions.,
E57-v2 reference decision agreement,1.000,1.0,analysis/results/e57_v2_validity_checks_report.json,reference_authorizer.decision_agreement,existing_result_file,corrected-rerun validity diagnostic,E55-v2 reference authorizer agrees on decisions.,
E57-v2 atom count agreement,1.000,1.0,analysis/results/e57_v2_validity_checks_report.json,reference_authorizer.atom_count_agreement,existing_result_file,corrected-rerun validity diagnostic,E55-v2 reference authorizer agrees on atom counts.,
E57-v2 atom resource-set agreement,1.000,1.0,analysis/results/e57_v2_validity_checks_report.json,reference_authorizer.atom_resource_set_agreement,existing_result_file,corrected-rerun validity diagnostic,E55-v2 reference authorizer agrees on atom resource sets.,
E57-v2 spot-audit rows,60,60,analysis/results/e57_v2_validity_checks_report.json,spot_audit.n_rows,existing_result_file,corrected-rerun inspection packet,E57-v2 generated a 60-row spot-audit packet.,
