suite,tool_name,field,required,n_observed_calls,n_valid_base_calls,attempted,valid,valid_mutation_kinds,n_valid_mutation_kinds,five_valid_distinct_intervention_kinds,committed_effect_changed,output_only_changed,effect_invariant,committed_effect_witness
banking,schedule_transaction,amount,True,17,8,20,20,boundary_alternative|expansion_alternative|observed_alternative|typed_alternative,4,False,20,0,0,True
banking,schedule_transaction,date,True,17,8,25,25,boundary_alternative|expansion_alternative|observed_alternative|surface_alternative|typed_alternative,5,True,25,0,0,True
banking,schedule_transaction,recipient,True,17,8,25,25,boundary_alternative|expansion_alternative|observed_alternative|surface_alternative|typed_alternative,5,True,25,0,0,True
banking,schedule_transaction,recurring,True,17,8,5,5,typed_alternative,1,False,5,0,0,True
banking,schedule_transaction,subject,True,17,8,25,25,boundary_alternative|expansion_alternative|observed_alternative|surface_alternative|typed_alternative,5,True,25,0,0,True
banking,send_money,amount,True,58,8,20,20,boundary_alternative|expansion_alternative|observed_alternative|typed_alternative,4,False,20,0,0,True
banking,send_money,date,True,58,8,25,25,boundary_alternative|expansion_alternative|observed_alternative|surface_alternative|typed_alternative,5,True,25,0,0,True
banking,send_money,recipient,True,58,8,25,25,boundary_alternative|expansion_alternative|observed_alternative|surface_alternative|typed_alternative,5,True,25,0,0,True
banking,send_money,subject,True,58,8,25,25,boundary_alternative|expansion_alternative|observed_alternative|surface_alternative|typed_alternative,5,True,25,0,0,True
banking,update_password,password,True,4,4,20,20,boundary_alternative|expansion_alternative|observed_alternative|surface_alternative|typed_alternative,5,True,20,0,0,True
banking,update_scheduled_transaction,amount,False,21,8,25,25,boundary_alternative|expansion_alternative|observed_alternative|omission_default|typed_alternative,5,True,25,0,0,True
banking,update_scheduled_transaction,date,False,21,8,5,5,boundary_alternative|expansion_alternative|omission_default|surface_alternative|typed_alternative,5,True,4,0,1,True
banking,update_scheduled_transaction,id,True,21,8,15,5,observed_alternative,1,False,5,0,0,True
banking,update_scheduled_transaction,recipient,False,21,8,30,30,boundary_alternative|expansion_alternative|observed_alternative|omission_default|surface_alternative|typed_alternative,6,True,30,0,0,True
banking,update_scheduled_transaction,recurring,False,21,8,9,9,observed_alternative|omission_default|typed_alternative,3,False,9,0,0,True
banking,update_scheduled_transaction,subject,False,21,8,24,24,boundary_alternative|expansion_alternative|observed_alternative|omission_default|surface_alternative|typed_alternative,6,True,16,0,8,True
banking,update_user_info,city,False,4,4,20,20,boundary_alternative|expansion_alternative|omission_default|surface_alternative|typed_alternative,5,True,20,0,0,True
banking,update_user_info,first_name,False,4,4,5,5,boundary_alternative|expansion_alternative|omission_default|surface_alternative|typed_alternative,5,True,4,0,1,True
banking,update_user_info,last_name,False,4,4,5,5,boundary_alternative|expansion_alternative|omission_default|surface_alternative|typed_alternative,5,True,4,0,1,True
banking,update_user_info,street,False,4,4,24,24,boundary_alternative|expansion_alternative|observed_alternative|omission_default|surface_alternative|typed_alternative,6,True,24,0,0,True
slack,add_user_to_channel,channel,True,9,8,25,5,observed_alternative,1,False,5,0,0,True
slack,add_user_to_channel,user,True,9,8,25,1,observed_alternative,1,False,1,0,0,True
slack,invite_user_to_slack,user,True,5,5,25,25,boundary_alternative|expansion_alternative|observed_alternative|surface_alternative|typed_alternative,5,True,25,0,0,True
slack,invite_user_to_slack,user_email,True,5,5,25,25,boundary_alternative|expansion_alternative|observed_alternative|surface_alternative|typed_alternative,5,True,0,0,25,False
slack,post_webpage,content,True,15,8,25,25,boundary_alternative|expansion_alternative|observed_alternative|surface_alternative|typed_alternative,5,True,25,0,0,True
slack,post_webpage,url,True,15,8,25,25,boundary_alternative|expansion_alternative|observed_alternative|surface_alternative|typed_alternative,5,True,25,0,0,True
slack,send_channel_message,body,True,26,8,25,25,boundary_alternative|expansion_alternative|observed_alternative|surface_alternative|typed_alternative,5,True,25,0,0,True
slack,send_channel_message,channel,True,26,8,25,5,observed_alternative,1,False,5,0,0,True
slack,send_direct_message,body,True,25,8,25,25,boundary_alternative|expansion_alternative|observed_alternative|surface_alternative|typed_alternative,5,True,25,0,0,True
slack,send_direct_message,recipient,True,25,8,25,1,observed_alternative,1,False,1,0,0,True
travel,create_calendar_event,description,False,18,8,12,12,boundary_alternative|expansion_alternative|observed_alternative|omission_default|surface_alternative|typed_alternative,6,True,12,0,0,True
travel,create_calendar_event,end_time,True,18,8,25,5,observed_alternative,1,False,5,0,0,True
travel,create_calendar_event,location,False,18,8,30,30,boundary_alternative|expansion_alternative|observed_alternative|omission_default|surface_alternative|typed_alternative,6,True,30,0,0,True
travel,create_calendar_event,participants,False,18,8,5,1,omission_default,1,False,1,0,0,True
travel,create_calendar_event,start_time,True,18,8,25,5,observed_alternative,1,False,5,0,0,True
travel,create_calendar_event,title,True,18,8,25,25,boundary_alternative|expansion_alternative|observed_alternative|surface_alternative|typed_alternative,5,True,25,0,0,True
travel,reserve_car_rental,company,True,2,2,10,10,boundary_alternative|expansion_alternative|observed_alternative|surface_alternative|typed_alternative,5,True,10,0,0,True
travel,reserve_car_rental,end_time,True,2,2,10,10,boundary_alternative|expansion_alternative|observed_alternative|surface_alternative|typed_alternative,5,True,0,10,0,False
travel,reserve_car_rental,start_time,True,2,2,10,2,observed_alternative,1,False,2,0,0,True
travel,reserve_hotel,end_day,True,8,8,25,15,boundary_alternative|observed_alternative|typed_alternative,3,False,15,0,0,True
travel,reserve_hotel,hotel,True,8,8,25,25,boundary_alternative|expansion_alternative|observed_alternative|surface_alternative|typed_alternative,5,True,25,0,0,True
travel,reserve_hotel,start_day,True,8,8,25,15,boundary_alternative|observed_alternative|typed_alternative,3,False,15,0,0,True
travel,reserve_restaurant,restaurant,True,1,1,4,4,boundary_alternative|expansion_alternative|surface_alternative|typed_alternative,4,False,4,0,0,True
travel,reserve_restaurant,start_time,True,1,1,4,0,,0,False,0,0,0,False
travel,send_email,attachments,False,3,3,5,1,omission_default,1,False,1,0,0,True
travel,send_email,bcc,False,3,3,5,1,omission_default,1,False,1,0,0,True
travel,send_email,body,True,3,3,15,15,boundary_alternative|expansion_alternative|observed_alternative|surface_alternative|typed_alternative,5,True,15,0,0,True
travel,send_email,cc,False,3,3,5,1,omission_default,1,False,1,0,0,True
travel,send_email,recipients,True,3,3,12,12,boundary_alternative|expansion_alternative|observed_alternative|typed_alternative,4,False,12,0,0,True
travel,send_email,subject,True,3,3,15,15,boundary_alternative|expansion_alternative|observed_alternative|surface_alternative|typed_alternative,5,True,15,0,0,True
workspace,add_calendar_event_participants,event_id,True,1,1,4,0,,0,False,0,0,0,False
workspace,add_calendar_event_participants,participants,True,1,1,3,3,boundary_alternative|expansion_alternative|typed_alternative,3,False,3,0,0,True
workspace,append_to_file,content,True,22,8,25,25,boundary_alternative|expansion_alternative|observed_alternative|surface_alternative|typed_alternative,5,True,25,0,0,True
workspace,append_to_file,file_id,True,22,8,25,5,observed_alternative,1,False,5,0,0,True
workspace,create_calendar_event,description,False,22,8,30,30,boundary_alternative|expansion_alternative|observed_alternative|omission_default|surface_alternative|typed_alternative,6,True,30,0,0,True
workspace,create_calendar_event,end_time,True,22,8,25,5,observed_alternative,1,False,5,0,0,True
workspace,create_calendar_event,location,False,22,8,30,30,boundary_alternative|expansion_alternative|observed_alternative|omission_default|surface_alternative|typed_alternative,6,True,30,0,0,True
workspace,create_calendar_event,participants,False,22,8,25,25,boundary_alternative|expansion_alternative|observed_alternative|omission_default|typed_alternative,5,True,25,0,0,True
workspace,create_calendar_event,start_time,True,22,8,25,5,observed_alternative,1,False,5,0,0,True
