dataset,representation,n_queries,n_authorized,n_unauthorized,unsafe_pre_allow,upa_rate,false_deny,false_deny_rate,coverage,decision_accuracy
agentdojo_finite_56,pre_validation_common_effects,1184,62,1122,236,0.2103386809269162,0,0.0,1.0,0.8006756756756757
agentdojo_finite_56,raw_call_exact,1184,62,1122,0,0.0,6,0.0967741935483871,1.0,0.9949324324324325
agentdojo_finite_56,raw_field_leaf_set,1184,62,1122,0,0.0,2,0.03225806451612903,1.0,0.9983108108108109
agentdojo_finite_56,source_effect_oracle,1184,62,1122,0,0.0,0,0.0,1.0,1.0
agentdojo_finite_56,tool_name,1184,62,1122,1122,1.0,0,0.0,1.0,0.052364864864864864
agentdojo_finite_56,validated_typed_atoms,1184,62,1122,0,0.0,0,0.0,1.0,1.0
toolsandbox_heldout_32,pre_validation_common_effects,232,82,150,85,0.5666666666666667,0,0.0,1.0,0.6336206896551724
toolsandbox_heldout_32,raw_call_exact,232,82,150,14,0.09333333333333334,28,0.34146341463414637,1.0,0.8189655172413793
toolsandbox_heldout_32,raw_field_leaf_set,232,82,150,18,0.12,28,0.34146341463414637,1.0,0.8017241379310345
toolsandbox_heldout_32,source_effect_oracle,232,82,150,0,0.0,0,0.0,1.0,1.0
toolsandbox_heldout_32,tool_name,232,82,150,150,1.0,0,0.0,1.0,0.35344827586206895
toolsandbox_heldout_32,validated_typed_atoms,232,82,150,0,0.0,0,0.0,1.0,1.0
